title,artist,genre,release_date
TEXAS HOLD 'EM,Beyoncé, Country,11/02/2024
Lose Control,Teddy Swims, Pop,23/06/2023
Beautiful Things,Benson Boone, Pop,19/01/2024
TEXAS HOLD 'EM,Beyoncé, Country,09/02/2024
dont let me go,mgk, Hip-Hop / Rap,21/02/2024
Lovin On Me,Jack Harlow, Hip-Hop / Rap,23/02/2022
Flowers,Miley Cyrus, Pop,12/01/2023
Don't Let the Old Man In,Toby Keith, Country,07/12/2018
Selfish,Justin Timberlake, Pop,25/01/2024
I Remember Everything (feat. Kacey Musgraves),Zach Bryan, Country,27/01/2023
Turn the Lights Back On,Billy Joel, Pop,01/02/2024
Beautiful Messes,Hillary Scott & The Scott Family, Country,08/07/2016
Where the Wild Things Are,Luke Combs, Country,24/03/2023
Made For Me,Muni Long, R&B / Soul,15/09/2023
Fast Car,Luke Combs, Country,24/03/2023
Save Me,Jelly Roll, Rap,25/06/2020
16 CARRIAGES,Beyoncé, Country,11/02/2024
Houdini,Dua Lipa, Pop,09/11/2023
Lil Boo Thang,Paul Russell, Pop,18/08/2023
Live Like You Were Dying,Tim McGraw, Country,07/06/2004
Powerful Women,Pitbull & Dolly Parton, Pop,15/02/2024
Need a Favor,Jelly Roll, Country,09/12/2022
Fast Car,Tracy Chapman, Singer/Songwriter,01/04/1988
Spin You Around (1/24),Morgan Wallen, Country,26/01/2024
Save Me (with Lainey Wilson),Jelly Roll, Country,01/02/2023
Spicy Margarita,Jason Derulo & Michael Bublé, Pop,25/01/2024
Cruel Summer,Taylor Swift, Pop,23/08/2019
Training Season,Dua Lipa, Pop,16/02/2024
Yeah! (feat. Lil Jon & Ludacris),USHER, R&B / Soul,10/01/2004
Good Day,Forrest Frank, Christian & Gospel,19/01/2024
White Horse,Chris Stapleton, Country,21/07/2023
Three Little Birds,Bob Marley & The Wailers, Reggae,08/05/1984
Let's Go,Key Glock, Hip-Hop / Rap,23/06/2023
Wildflowers and Wild Horses (Single Version),Lainey Wilson, Country,10/11/2023
Thinkin’ Bout Me,Morgan Wallen, Country,03/03/2023
Should've Been a Cowboy,Toby Keith, Country,01/01/1993
Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor, Dance,01/01/2002
"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish, Alternative,13/07/2023
