song_name,name,song_id,popularity
Pretty Pimpin,Kurt Vile,3l9eg9RtisizG12a1D6nZl,0
I Need My Girl,The National,50M7nY1oQuNHecs0ahWAtI,68
Strange,Galaxie 500,2TTAPkrGQQOZkaUTUlt21Q,48
Todeswalzer,Windir,7BvcpEdO7PUDGGSER1S9LA,36
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,93
Long Haired Punks,Venom,7AEkZ1EgzDrled3sxpPHZ4,0
Devoid of Light,Uada,4pkADG8kSJzbTjQxvpjbdY,0
MYSTERY,Turnstile,5iXnD2VizcAbErpkcuNQ6I,61
Clap Hands,Tom Waits,5TeoCsHbzWo9UgMW3rv7JL,0
Edge of Darkness,Tombs,71MHVUJYwhVuKZmt7EgJFS,3
The Hunger,Tombs,2wPaVdnkUPz4rtplfy0lcy,11
Sirály,Thy Catafalque,4gwuy8dyF1WQYJlUoItxug,33
Darkhorse,Emma Ruth Rundle,53oc5U2cz4MydANM35abYV,39
Ancestral Recall,Emma Ruth Rundle,6ss6OkJFKQHnqO84sizM4w,34
Ancestral Recall,Thou,6ss6OkJFKQHnqO84sizM4w,34
The Hammer,Thou,0ELDzZe2zAvjSd0EGhWNLL,27
Aneurysm,Thou,1QDS3zTDnXXlQI1eFZRhhP,32
Forward,The Thermals,48UnvaeRsj43F4EuF7OH55,0
Love Story,Taylor Swift,5xPsybHWRHbTYO44xnREY5,50
New Grass,Talk Talk,51Lt2RN3W0u2xI0LiARCRm,39
Eden - 1997 Remaster,Talk Talk,5kSAwHSqqr05MqWJ1o1KaG,41
Jack - Remastered,Tad,5fJhEAsFjIwx3TRsNQTGoK,20
"Hordalands Doedskvad, Pt. 1",Taake,16iGDoDEy4JcqYCYpC6Bch,31
Blind,Swans,4W5ZiER2saVe1uo7bNTWbE,43
Lunacy,Swans,00DVtdi8lE9em4GdOADTvH,30
You Can't Hurry Love,The Supremes,1OppEieGNdItZbE14gLBEv,78
Baby Love,The Supremes,5uES1C2NgkdrNHiCwf9jRr,72
The Usher,SubRosa,3DHtILSNfGgKnUD2imndgf,25
Ize of the World,The Strokes,1TbK5nWKIxZYIRVurMvkuR,52
For Once In My Life,Stevie Wonder,4kP69y3GKHi9tXckfgp4bK,79
Bodies,Drowning Pool,7CpbhqKUedOIrcvc94p60Y,79
Speedwolf,Speedwolf,2szFtIRwyNqbf0oOMblmpA,22
Have Love Will Travel,The Sonics,2uXkW8uJcOIhlbUatEPLPs,58
Opus Dei,Laibach,44gWvQpgntO8sHhL8Qa3Yf,29
Stålfågel,Soilwork,4HOVQhtjFCRGY9PnsLoR86,53
Pulse of the Maggots,Slipknot,0at89DgpVeImkVrQ0htbVm,62
Duality,Slipknot,61mWefnWQOLf90gepjOCb3,84
Solway Firth,Slipknot,6WCkyaVmut83CtBFEUhDo4,62
Unsainted,Slipknot,5mpUKTdskZea0gStWzeHUZ,74
Insert Coin,Slipknot,5Oca13ac6cZ0hwZAs1SXse,46
People = Shit,Slipknot,0Y2i84QWPFiFHQfEQDgHya,72
Postmortem,Slayer,28ILqSCrIeWvU52pyZfsxx,49
Mandatory Suicide,Slayer,2KPcujYDaukvtfRR0Zmu0O,57
Die by the Sword,Slayer,4JDFs0oRsOKAu8mQEkSFbQ,48
This Corrosion,Sisters of Mercy,2ZiAhZOpTjNgh3JpTGYAyh,51
Stay Away,Charles Bradley,4ml0940tmn92PzmkSb2lwU,0
Stay Away,Menahan Street Band,4ml0940tmn92PzmkSb2lwU,0
New Slang - 2021 Remaster,The Shins,0NslHuacjxQYfUTOW3HCIV,78
The Final Countdown,Europe,3MrRksHupTVEQ7YbA0FsZK,80
Wait A Minute,The Seldom Scene,1Uos7x3iG1HnP5gu7zrHpu,13
Don't Laugh,Bill Abel,3aOu0bjWrpPNkkMgrplqoW,3
Death Don't Have No Mercy,Rev. Gary Davis,2uoOm55gLvLMALwXmKrwXc,53
All the Pretty Little Horses,Alan Lomax,5Zk5D22hK7XrG1LzQlmwie,31
Evil (Is Going On),Howlin' Wolf,7LdbDjg6esKNAsnFElpFnB,44
High and Lonesome,Jimmy Reed,6Zp4tLdFhGazBxtjF1qiP6,0
"Bright Lights, Big City",Jimmy Reed,4TE1mJzeu3os3j4YcCfkMI,40
Ain't Nobody,Rufus,53Za5vyGc1x7GxgJVRjRKc,69
Ain't Nobody,Chaka Khan,53Za5vyGc1x7GxgJVRjRKc,69
Under the Bridge,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,86
"Snap Your Fingers, Snap Your Neck",Prong,7hgtn706RqLE5q1mWe8aQx,57
Sometimes It Snows in April,Prince,1Az0fhiWi0EVS4cZ3FF20X,50
1999 - Edit,Prince,2cKIcepRj6NOc1bKGjHuSl,35
Dumb,Pretty Sick,56gG5NdPZB1dyJJaQsgQC5,56
Roxanne,The Police,3EYOJ48Et32uATr9ZmLnAo,83
Lights Out,Angry Samoans,0g5m5ECn51sourNljdCF1g,44
Can't Tell No One - From 10 Song 7 Inch EP 1982,Negative Approach,3SP7SuDOHHjZDWGmIajb3z,35
Kodachrome,Paul Simon,3f0U5NaD1bCk8nmKpn2ZJY,67
Remembrance,Paradise Lost,6AExYXNqpg8TUIrWviatiW,29
Embers Fire,Paradise Lost,27ZuGlwpjafRzKOquXVNP8,38
Morris Brown (feat. Scar & Sleepy Brown),Outkast,18uAu5gCnoGGNYQu8LeAr1,44
Morris Brown (feat. Scar & Sleepy Brown),Scar,18uAu5gCnoGGNYQu8LeAr1,44
Morris Brown (feat. Scar & Sleepy Brown),Sleepy Brown,18uAu5gCnoGGNYQu8LeAr1,44
Scoop,Nasum,0ZWPzE2L07JKwpSz2wufC7,29
Particles,Nasum,5RXdOUThPgs43CQK6KY1gj,14
Treason,Naked Raygun,22jk2MJWkpjWRTTmpWHyZm,30
Ulvetid,Kvelertak,445GvcvAF1FlwXM7bCPW1O,0
Blodtørst,Kvelertak,03xPjimiQsqAor5sqfHLK2,0
Mjød,Kvelertak,29fzGpbRh45T7h20IjISdg,0
Unspoken,Kylesa,4Vuk0wkvcchcx3dyYOCF6Q,36
Material Girl,Madonna,7bkyXSi4GtVfD7itZRUR3e,59
Into the Groove - Edit,Madonna,5CxiVaZ6VzP8XVJ8vcBY40,52
Into the Groovey,Sonic Youth,5pZHQuTA3HTmtB61UiK2es,40
