title,artist,genre,release_date
TEXAS HOLD 'EM,Beyoncé, Country,11/02/2024
Lose Control,Teddy Swims, Pop,23/06/2023
Beautiful Things,Benson Boone, Pop,19/01/2024
Flowers,Miley Cyrus, Pop,12/01/2023
Turn the Lights Back On,Billy Joel, Pop,01/02/2024
Don't Let the Old Man In,Toby Keith, Country,07/12/2018
Lovin On Me,Jack Harlow, Hip-Hop / Rap,23/02/2022
Selfish,Justin Timberlake, Pop,25/01/2024
Sorrys & Ferraris,Polo G, Rap,16/02/2024
TEXAS HOLD 'EM,Beyoncé, Country,09/02/2024
I Remember Everything (feat. Kacey Musgraves),Zach Bryan, Country,27/01/2023
Made For Me,Muni Long, R&B / Soul,15/09/2023
Houdini,Dua Lipa, Pop,09/11/2023
Training Season,Dua Lipa, Pop,16/02/2024
Fast Car,Luke Combs, Country,24/03/2023
Fast Car,Tracy Chapman, Singer/Songwriter,01/04/1988
Live Like You Were Dying,Tim McGraw, Country,07/06/2004
Save Me,Jelly Roll, Rap,25/06/2020
Let's Go,Key Glock, Hip-Hop / Rap,23/06/2023
Yeah! (feat. Lil Jon & Ludacris),USHER, R&B / Soul,10/01/2004
Lil Boo Thang,Paul Russell, Pop,18/08/2023
Cruel Summer,Taylor Swift, Pop,23/08/2019
16 CARRIAGES,Beyoncé, Country,11/02/2024
Where the Wild Things Are,Luke Combs, Country,24/03/2023
Until I Found You,Stephen Sanchez, Singer/Songwriter,01/09/2021
Need a Favor,Jelly Roll, Country,09/12/2022
Country's Cool Again,Lainey Wilson, Country,16/02/2024
In Case You Didn't Know,Brett Young, Country,01/01/2016
Spicy Margarita,Jason Derulo & Michael Bublé, Pop,25/01/2024
You Are the Reason,Calum Scott, Pop,09/03/2018
"yes, and?",Ariana Grande & Mariah Carey, Pop,16/02/2024
Three Little Birds,Bob Marley & The Wailers, Reggae,08/05/1984
Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold, Singer/Songwriter,22/04/2022
Powerful Women,Pitbull & Dolly Parton, Pop,15/02/2024
Water,Tyla, Pop,28/07/2023
White Horse,Chris Stapleton, Country,21/07/2023
Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor, Dance,01/01/2002
Should've Been a Cowboy,Toby Keith, Country,01/01/1993
